timestamp,locomotive_id,failure_type_true,coolant_temp_f,coolant_level_pct,battery_volts,oil_pressure_psi,engine_temp_f,rpm,ambient_temp_f,cooling_water_loss,battery_failure
2026-01-01 00:00:00,NS-1001,none,177.64,97.82,14.193,63.45,182.94,801.7,59.75,0,0
2026-01-01 01:00:00,NS-1001,none,172.57,98.03,14.183,63.24,183.4,783.5,58.0,0,0
2026-01-01 02:00:00,NS-1001,none,176.41,98.73,14.191,63.46,185.05,829.8,51.85,0,0
2026-01-01 03:00:00,NS-1001,none,175.29,97.3,14.221,63.97,183.08,821.4,60.5,0,0
2026-01-01 04:00:00,NS-1001,none,178.01,98.82,14.158,64.86,185.34,791.9,52.37,0,0
2026-01-01 05:00:00,NS-1001,none,173.86,97.17,14.286,64.11,181.29,828.9,58.85,0,0
2026-01-01 06:00:00,NS-1001,none,174.37,97.62,14.225,65.08,180.16,809.4,50.6,0,0
2026-01-01 07:00:00,NS-1001,none,176.21,98.04,14.317,63.9,181.57,827.5,56.79,0,0
2026-01-01 08:00:00,NS-1001,none,173.78,99.05,14.126,63.92,183.48,831.2,55.21,0,0
2026-01-01 09:00:00,NS-1001,none,172.63,97.49,14.222,64.72,182.31,809.2,60.92,0,0
2026-01-01 10:00:00,NS-1001,none,176.25,97.81,14.214,64.16,188.8,825.7,53.3,0,0
2026-01-01 11:00:00,NS-1001,none,175.03,98.21,14.208,64.33,176.72,811.3,54.33,0,0
2026-01-01 12:00:00,NS-1001,none,171.57,97.79,14.238,65.38,181.85,790.5,50.21,0,0
2026-01-01 13:00:00,NS-1001,none,174.75,97.75,14.277,63.98,182.7,811.7,53.08,0,0
2026-01-01 14:00:00,NS-1001,none,175.6,97.84,14.177,62.83,186.98,827.2,62.12,0,0
2026-01-01 15:00:00,NS-1001,none,178.4,98.27,14.2,64.06,182.04,829.4,59.58,0,0
2026-01-01 16:00:00,NS-1001,none,174.89,97.71,14.282,62.76,186.63,801.9,54.42,0,0
2026-01-01 17:00:00,NS-1001,none,173.85,97.55,14.323,64.54,183.61,823.5,67.94,0,0
